COMMUNE;DEPT;CODE POSTAL;LAT;LON
Curciat-Dongalon;1;1560;46.488;5.163
Curtafond;1;1310;46.273;5.102
Cuzieu;1;1300;45.82;5.677
Dagneux;1;1120;45.853;5.073
Divonne-les-Bains;1;1220;46.376;6.116
Dompierre-sur-Veyle;1;1240;46.067;5.217
Dompierre-sur-Chalaronne;1;1400;46.142;4.901
Domsure;1;1270;46.424;5.293
Dortan;1;1590;46.313;5.642
Douvres;1;1500;45.984;5.371
Drom;1;1250;46.22;5.368
Druillat;1;1160;46.068;5.294
Échallon;1;1130;46.227;5.733
Échenevex;1;1170;46.316;6.019
Évosges;1;1230;45.965;5.503
Faramans;1;1800;45.91;5.125
Fareins;1;1480;46.021;4.762
Farges;1;1550;46.166;5.9
Feillens;1;1570;46.337;4.885
Ferney-Voltaire;1;1210;46.252;6.108
Flaxieu;1;1350;45.811;5.745
Foissiat;1;1340;46.378;5.185
Francheleins;1;1090;46.074;4.813
Frans;1;1480;45.994;4.78
Garnerans;1;1140;46.214;4.828
Genouilleux;1;1090;46.12;4.793
Béard-Géovreissiat;1;1460;46.19;5.551
Géovreisset;1;1100;46.251;5.613
Gex;1;1170;46.347;6.046
Giron;1;1130;46.223;5.78
Gorrevod;1;1190;46.415;4.951
Grand-Corent;1;1250;46.207;5.433
Grièges;1;1290;46.263;4.846
Grilly;1;1220;46.332;6.114
Groissiat;1;1100;46.226;5.611
Guéreins;1;1090;46.107;4.782
Hautecourt-Romanèche;1;1250;46.161;5.429
Plateau d'Hauteville;1;1110;45.97;5.576
Haut Valromey;1;1260;46.032;5.703
Illiat;1;1140;46.187;4.888
Injoux-Génissiat;1;1200;46.05;5.76
Innimond;1;1680;45.792;5.574
Izenave;1;1430;46.038;5.524
Izernore;1;1580;46.218;5.563
Izieu;1;1300;45.656;5.639
Jassans-Riottier;1;1480;45.978;4.76
Jasseron;1;1250;46.215;5.312
Jayat;1;1340;46.366;5.114
Journans;1;1250;46.146;5.334
Joyeux;1;1800;45.95;5.103
Jujurieux;1;1640;46.05;5.411
Labalme;1;1450;46.093;5.494
Lagnieu;1;1150;45.892;5.329
Laiz;1;1290;46.247;4.899
Le Poizat-Lalleyriat;1;1130;46.148;5.718
Lantenay;1;1430;46.054;5.541
Lapeyrouse;1;1330;45.986;4.982
Lavours;1;1350;45.811;5.773
Léaz;1;1200;46.109;5.876
Lélex;1;1410;46.286;5.929
Lent;1;1240;46.116;5.202
Lescheroux;1;1560;46.412;5.151
Leyment;1;1150;45.927;5.295
Leyssard;1;1450;46.162;5.476
Surjoux-Lhopital;1;1420;46.024;5.762
Lhuis;1;1680;45.744;5.536
Lompnas;1;1680;45.811;5.523
Loyettes;1;1360;45.792;5.218
Lurcy;1;1090;46.062;4.781
Magnieu;1;1300;45.775;5.715
Maillat;1;1430;46.12;5.528
Malafretaz;1;1340;46.33;5.144
Mantenay-Montlin;1;1560;46.43;5.107
Manziat;1;1570;46.364;4.902
Marboz;1;1851;46.343;5.244
Marchamp;1;1680;45.774;5.55
Marignieu;1;1300;45.801;5.716
Marlieux;1;1240;46.055;5.074
Marsonnas;1;1340;46.341;5.064
Martignat;1;1100;46.203;5.614
Massieux;1;1600;45.909;4.828
Massignieu-de-Rives;1;1300;45.757;5.762
Matafelon-Granges;1;1580;46.256;5.54
Meillonnas;1;1370;46.245;5.336
Mérignat;1;1450;46.065;5.442
Messimy-sur-Saône;1;1480;46.047;4.759
Meximieux;1;1800;45.906;5.204
Bohas-Meyriat-Rignat;1;1250;46.143;5.378
Mézériat;1;1660;46.242;5.047
Mijoux;1;1170;46.362;6.009
Mionnay;1;1390;45.896;4.924
Miribel;1;1700;45.844;4.941
Misérieux;1;1600;45.976;4.81
Mogneneins;1;1140;46.145;4.82
Montagnat;1;1250;46.169;5.28
Montagnieu;1;1470;45.799;5.464
Montanges;1;1200;46.173;5.79
Montceaux;1;1090;46.096;4.804
Montcet;1;1310;46.219;5.112
Le Montellier;1;1800;45.929;5.071
Monthieux;1;1390;45.962;4.946
Montluel;1;1120;45.891;5.02
Montmerle-sur-Saône;1;1090;46.085;4.761
Montracol;1;1310;46.187;5.117
Montréal-la-Cluse;1;1460;46.18;5.595
Montrevel-en-Bresse;1;1340;46.325;5.113
Nurieux-Volognat;1;1460;46.183;5.514
Murs-et-Gélignieux;1;1300;45.642;5.66
Nantua;1;1130;46.154;5.614
Neuville-les-Dames;1;1400;46.157;5.009
Neuville-sur-Ain;1;1160;46.091;5.374
Les Neyrolles;1;1130;46.134;5.637
Neyron;1;1700;45.818;4.931
Niévroz;1;1120;45.822;5.06
