COMMUNE;DEPT;CODE POSTAL;LAT;LON
Les Damps;27;27340;49.294;1.172
Mesnils-sur-Iton;27;27160;48.864;1.08
Dangu;27;27720;49.261;1.688
Dardez;27;27930;49.084;1.207
Daubeuf-la-Campagne;27;27110;49.189;1.029
Daubeuf-près-Vatteville;27;27430;49.261;1.311
Douains;27;27120;49.044;1.431
Doudeauville-en-Vexin;27;27150;49.323;1.589
Douville-sur-Andelle;27;27380;49.333;1.308
Droisy;27;27320;48.798;1.126
Drucourt;27;27230;49.116;0.459
Duranville;27;27230;49.143;0.5
Écaquelon;27;27290;49.289;0.717
Écardenville-la-Campagne;27;27170;49.124;0.835
Écauville;27;27110;49.126;0.992
Vexin-sur-Epte;27;27510;49.152;1.598
Écouis;27;27440;49.307;1.43
Ecquetot;27;27110;49.17;1.013
Émalleville;27;27930;49.102;1.157
Émanville;27;27190;49.059;0.907
Épaignes;27;27260;49.273;0.454
Épégard;27;27110;49.182;0.875
Épieds;27;27730;48.935;1.396
Épreville-en-Lieuvin;27;27560;49.205;0.538
Épreville-près-le-Neubourg;27;27110;49.13;0.876
Étrépagny;27;27150;49.312;1.616
Étréville;27;27350;49.38;0.655
Éturqueraye;27;27350;49.369;0.689
Évreux;27;27000;49.02;1.142
Ézy-sur-Eure;27;27530;48.871;1.413
Fains;27;27120;48.997;1.385
Farceaux;27;27150;49.292;1.528
Fatouville-Grestain;27;27210;49.413;0.332
Fauville;27;27930;49.024;1.199
Faverolles-la-Campagne;27;27190;49.021;0.927
Le Favril;27;27230;49.183;0.526
Ferrières-Haut-Clocher;27;27190;49.02;0.988
Ferrières-Saint-Hilaire;27;27270;49.028;0.57
La Ferrière-sur-Risle;27;27760;48.978;0.787
Feuguerolles;27;27110;49.132;1.034
Le Fidelaire;27;27190;48.944;0.802
Fiquefleur-Équainville;27;27210;49.399;0.317
Fleury-la-Forêt;27;27480;49.427;1.556
Fleury-sur-Andelle;27;27380;49.364;1.352
Flipou;27;27380;49.313;1.284
Folleville;27;27230;49.158;0.525
Fontaine-Bellenger;27;27600;49.18;1.253
Fontaine-l'Abbé;27;27470;49.088;0.688
Fontaine-la-Louvet;27;27230;49.158;0.446
Fontaine-sous-Jouy;27;27120;49.064;1.281
La Forêt-du-Parc;27;27220;48.928;1.24
Fort-Moville;27;27210;49.329;0.402
Foucrainville;27;27220;48.928;1.32
Foulbec;27;27210;49.394;0.422
Fouqueville;27;27370;49.222;0.964
Le Perrey;27;27680;49.378;0.574
Franqueville;27;27800;49.173;0.686
Freneuse-sur-Risle;27;27290;49.246;0.672
Fresne-Cauverville;27;27260;49.201;0.469
Fresney;27;27220;48.947;1.307
Gadencourt;27;27120;48.984;1.403
Gaillon;27;27600;49.159;1.347
Gamaches-en-Vexin;27;27150;49.266;1.616
La Baronnie;27;27220;48.95;1.257
Garennes-sur-Eure;27;27780;48.909;1.434
Gasny;27;27620;49.102;1.6
Gauciel;27;27930;49.036;1.247
Gaudreville-la-Rivière;27;27190;48.96;1.03
Gauville-la-Campagne;27;27930;49.049;1.084
Gisors;27;27140;49.279;1.769
Giverny;27;27620;49.082;1.533
Giverville;27;27560;49.191;0.568
Glisolles;27;27190;48.987;1.003
Glos-sur-Risle;27;27290;49.272;0.685
La Goulafrière;27;27390;48.948;0.432
Goupil-Othon;27;27170;49.122;0.766
Gournay-le-Guérin;27;27580;48.716;0.769
Val d'Orger;27;27380;49.345;1.368
Grand-Camp;27;27270;49.044;0.534
Graveron-Sémerville;27;27110;49.095;0.966
Gravigny;27;27930;49.052;1.161
Grosley-sur-Risle;27;27170;49.045;0.806
Grossœuvre;27;27220;48.94;1.186
Le Bosc du Theil;27;27370;49.228;0.84
Guerny;27;27720;49.225;1.68
Guichainville;27;27930;48.98;1.179
Guiseniers;27;27700;49.214;1.478
L'Habit;27;27220;48.875;1.348
Hacqueville;27;27150;49.282;1.558
Harcourt;27;27800;49.166;0.776
Hardencourt-Cocherel;27;27120;49.042;1.316
La Harengère;27;27370;49.231;1.001
Harquency;27;27700;49.249;1.5
Hauville;27;27350;49.397;0.767
La Haye-Aubrée;27;27350;49.394;0.693
La Haye-de-Calleville;27;27800;49.188;0.778
La Haye-de-Routot;27;27350;49.403;0.728
La Haye-du-Theil;27;27370;49.238;0.875
La Haye-le-Comte;27;27400;49.196;1.134
La Haye-Malherbe;27;27400;49.237;1.066
La Haye-Saint-Sylvestre;27;27330;48.911;0.594
Hébécourt;27;27150;49.357;1.722
Hecmanville;27;27800;49.173;0.664
Hécourt;27;27120;48.988;1.429
Hectomare;27;27110;49.193;0.944
Hennezis;27;27700;49.191;1.456
Herqueville;27;27430;49.244;1.274
Heubécourt-Haricourt;27;27630;49.13;1.565
Heudebouville;27;27600;49.193;1.237
Heudicourt;27;27860;49.334;1.663
Heudreville-en-Lieuvin;27;27230;49.193;0.503
Heudreville-sur-Eure;27;27400;49.132;1.189
La Heunière;27;27950;49.065;1.413
Heuqueville;27;27700;49.287;1.321
Les Hogues;27;27910;49.42;1.408
Hondouville;27;27400;49.145;1.116
Honguemare-Guenouville;27;27310;49.378;0.816
L'Hosmes;27;27570;48.79;1.031
Houetteville;27;27400;49.129;1.09
Houlbec-Cocherel;27;27120;49.064;1.361
La Houssaye;27;27410;48.998;0.8
Houville-en-Vexin;27;27440;49.3;1.358
Huest;27;27930;49.037;1.208
Igoville;27;27460;49.323;1.151
Illeville-sur-Montfort;27;27290;49.319;0.709
Illiers-l'Évêque;27;27770;48.825;1.26
Incarville;27;27400;49.252;1.152
Irreville;27;27930;49.098;1.2
Iville;27;27110;49.177;0.926
Ivry-la-Bataille;27;27540;48.886;1.447
Jouy-sur-Eure;27;27120;49.05;1.292
Juignettes;27;27250;48.847;0.644
Jumelles;27;27220;48.917;1.212
La Lande-Saint-Léger;27;27210;49.298;0.336
Le Landin;27;27350;49.407;0.804
Launay;27;27470;49.108;0.737
Léry;27;27690;49.288;1.195
Letteguives;27;27910;49.422;1.327
Lieurey;27;27560;49.233;0.501
Lignerolles;27;27220;48.845;1.273
Lilly;27;27480;49.403;1.567
Lisors;27;27440;49.358;1.473
Livet-sur-Authou;27;27800;49.229;0.655
Longchamps;27;27150;49.358;1.621
Lorleau;27;27480;49.421;1.505
Louversey;27;27190;48.991;0.916
Louviers;27;27400;49.221;1.153
Louye;27;27650;48.797;1.319
Lyons-la-Forêt;27;27480;49.394;1.474
La Madeleine-de-Nonancourt;27;27320;48.79;1.218
Mainneville;27;27150;49.375;1.687
Malleville-sur-le-Bec;27;27800;49.242;0.746
Malouy;27;27300;49.128;0.529
Mandeville;27;27370;49.216;1.013
Mandres;27;27130;48.753;0.851
Manneville-la-Raoult;27;27210;49.369;0.328
Manneville-sur-Risle;27;27500;49.361;0.546
Le Manoir;27;27460;49.318;1.199
Marais-Vernier;27;27680;49.438;0.464
Marbeuf;27;27110;49.154;0.963
Marcilly-la-Campagne;27;27320;48.827;1.188
Marcilly-sur-Eure;27;27810;48.821;1.333
Martagny;27;27150;49.396;1.658
Martainville;27;27210;49.303;0.386
Martot;27;27340;49.278;1.071
Mélicourt;27;27390;48.912;0.502
Ménesqueville;27;27850;49.357;1.407
Ménilles;27;27120;49.039;1.37
Menneval;27;27300;49.102;0.622
Mercey;27;27950;49.083;1.399
Merey;27;27640;48.959;1.393
Le Mesnil-Fuguet;27;27930;49.073;1.114
Le Mesnil-Jourdain;27;27400;49.182;1.128
Mesnil-Rousset;27;27390;48.894;0.557
Mesnil-sous-Vienne;27;27150;49.385;1.668
Mesnil-sur-l'Estrée;27;27650;48.777;1.29
Mesnil-Verclives;27;27440;49.323;1.465
Mézières-en-Vexin;27;27510;49.176;1.503
Miserey;27;27930;49.02;1.261
Moisville;27;27320;48.848;1.166
Terres de Bord;27;27340;49.23;1.098
Montfort-sur-Risle;27;27290;49.294;0.671
Montreuil-l'Argillé;27;27390;48.94;0.468
Morainville-Jouveaux;27;27260;49.223;0.444
Morgny;27;27150;49.378;1.578
Morsan;27;27800;49.18;0.598
Mouettes;27;27220;48.889;1.368
Mouflaines;27;27420;49.244;1.555
Mousseaux-Neuville;27;27220;48.907;1.338
Muids;27;27430;49.227;1.286
Muzy;27;27650;48.778;1.326
Nagel-Séez-Mesnil;27;27190;48.925;0.941
Nassandres sur Risle;27;27550;49.134;0.739
Neaufles-Saint-Martin;27;27830;49.277;1.726
Neaufles-Auvergny;27;27250;48.874;0.744
Le Neubourg;27;27110;49.148;0.897
Neuilly;27;27730;48.93;1.417
La Neuve-Grange;27;27150;49.36;1.558
La Neuve-Lyre;27;27330;48.902;0.736
La Neuville-du-Bosc;27;27890;49.194;0.816
Neuville-sur-Authou;27;27800;49.205;0.629
Noards;27;27560;49.21;0.51
La Noë-Poulain;27;27560;49.271;0.52
Nogent-le-Sec;27;27190;48.92;1.005
Nojeon-en-Vexin;27;27150;49.329;1.556
Nonancourt;27;27320;48.777;1.179
Normanville;27;27930;49.072;1.162
Notre-Dame-de-l'Isle;27;27940;49.156;1.448
Notre-Dame-d'Épine;27;27800;49.195;0.598
Notre-Dame-du-Hamel;27;27390;48.892;0.51
Le Noyer-en-Ouche;27;27410;49.006;0.762
Noyers;27;27720;49.246;1.674
Ormes;27;27190;49.056;0.956
Le Val-Doré;27;27190;48.941;1.021
Pacy-sur-Eure;27;27120;49.022;1.4
Parville;27;27180;49.032;1.092
Perriers-sur-Andelle;27;27910;49.408;1.363
Perruel;27;27910;49.432;1.362
Piencourt;27;27230;49.172;0.408
Pinterville;27;27400;49.192;1.192
Piseux;27;27130;48.772;0.966
Pîtres;27;27590;49.331;1.218
Les Places;27;27230;49.153;0.417
Plainville;27;27300;49.079;0.5
Le Planquay;27;27230;49.094;0.427
Plasnes;27;27300;49.138;0.625
Le Plessis-Grohan;27;27180;48.944;1.133
Le Plessis-Hébert;27;27120;48.982;1.363
Le Plessis-Sainte-Opportune;27;27170;49.07;0.856
Pont-Audemer;27;27500;49.346;0.534
Pont-Authou;27;27290;49.242;0.702
Pont-de-l'Arche;27;27340;49.291;1.144
Pont-Saint-Pierre;27;27360;49.343;1.288
Porte-de-Seine;27;27430;49.252;1.251
Portes;27;27190;49.025;0.948
Port-Mort;27;27940;49.174;1.41
Poses;27;27740;49.3;1.241
La Poterie-Mathieu;27;27560;49.252;0.522
Les Préaux;27;27500;49.328;0.48
Pressagny-l'Orgueilleux;27;27510;49.131;1.465
Prey;27;27220;48.958;1.219
Puchay;27;27150;49.354;1.526
Pullay;27;27130;48.728;0.864
La Pyle;27;27370;49.2;0.897
Quatremare;27;27400;49.184;1.081
Quillebeuf-sur-Seine;27;27680;49.47;0.502
Quittebeuf;27;27110;49.107;1.005
Radepont;27;27380;49.353;1.324
Renneville;27;27910;49.396;1.326
Reuilly;27;27930;49.073;1.226
Richeville;27;27420;49.258;1.538
Romilly-la-Puthenaye;27;27170;49.013;0.838
Romilly-sur-Andelle;27;27610;49.334;1.254
La Roquette;27;27700;49.259;1.343
Rosay-sur-Lieure;27;27790;49.375;1.428
Rougemontiers;27;27350;49.358;0.725
Rouge-Perriers;27;27110;49.146;0.833
Routot;27;27350;49.385;0.726
Rouvray;27;27120;49.067;1.34
Rugles;27;27250;48.816;0.691
Sacquenville;27;27930;49.081;1.074
Saint-Agnan-de-Cernières;27;27390;48.95;0.532
Saint-André-de-l'Eure;27;27220;48.903;1.278
Saint-Antonin-de-Sommaire;27;27250;48.83;0.663
Saint-Aubin-d'Écrosville;27;27110;49.143;0.987
Saint-Aubin-de-Scellon;27;27230;49.177;0.473
Saint-Aubin-du-Thenney;27;27270;49.015;0.494
Treis-Sants-en-Ouche;27;27270;49.059;0.612
Saint-Aubin-sur-Gaillon;27;27600;49.133;1.336
Saint-Aubin-sur-Quillebeuf;27;27680;49.449;0.525
Saint-Benoît-des-Ombres;27;27450;49.226;0.618
Saint-Christophe-sur-Avre;27;27820;48.699;0.805
Saint-Christophe-sur-Condé;27;27450;49.285;0.601
Sainte-Colombe-la-Commanderie;27;27110;49.107;0.936
Sainte-Colombe-près-Vernon;27;27950;49.095;1.341
Saint-Cyr-de-Salerne;27;27800;49.186;0.653
Le Vaudreuil;27;27100;49.261;1.199
Saint-Cyr-la-Campagne;27;27370;49.25;1.019
Saint-Denis-d'Augerons;27;27390;48.915;0.472
Saint-Denis-des-Monts;27;27520;49.256;0.807
Saint-Denis-le-Ferment;27;27140;49.322;1.718
Saint-Didier-des-Bois;27;27370;49.242;1.038
Saint-Élier;27;27190;48.984;0.961
Saint-Éloi-de-Fourques;27;27800;49.236;0.803
Saint-Étienne-du-Vauvray;27;27430;49.242;1.215
Saint-Étienne-l'Allier;27;27450;49.266;0.558
Saint-Étienne-sous-Bailleul;27;27920;49.116;1.405
Sainte-Geneviève-lès-Gasny;27;27620;49.082;1.57
Le Mesnil-Saint-Jean;27;27560;49.211;0.567
Saint-Georges-du-Vièvre;27;27450;49.242;0.58
Saint-Georges-Motel;27;27710;48.792;1.36
Saint-Germain-de-Fresney;27;27220;48.958;1.287
Saint-Germain-de-Pasquier;27;27370;49.242;1.002
Saint-Germain-des-Angles;27;27930;49.088;1.138
Saint-Germain-la-Campagne;27;27230;49.052;0.413
Saint-Germain-sur-Avre;27;27320;48.773;1.263
Saint-Grégoire-du-Vièvre;27;27450;49.245;0.626
Saint-Jean-du-Thenney;27;27270;49.015;0.459
Saint-Julien-de-la-Liègue;27;27600;49.14;1.287
La Chapelle-Longueville;27;27950;49.106;1.433
Saint-Laurent-des-Bois;27;27220;48.846;1.319
Saint-Laurent-du-Tencement;27;27390;48.892;0.461
Saint-Léger-de-Rôtes;27;27300;49.113;0.662
Saint-Léger-du-Gennetey;27;27520;49.283;0.752
Saint-Luc;27;27930;48.974;1.233
Saint-Maclou;27;27210;49.362;0.414
Saint-Marcel;27;27950;49.092;1.439
Saint-Mards-de-Blacarville;27;27500;49.377;0.509
Saint-Mards-de-Fresne;27;27230;49.081;0.455
Le Lesme;27;27160;48.911;0.846
Sainte-Marie-de-Vatimesnil;27;27150;49.272;1.582
Sainte-Marthe;27;27190;48.958;0.881
Saint-Martin-du-Tilleul;27;27300;49.106;0.527
Saint-Martin-la-Campagne;27;27930;49.065;1.077
Saint-Martin-Saint-Firmin;27;27450;49.294;0.56
Saint-Meslin-du-Bosc;27;27370;49.216;0.879
Sainte-Opportune-du-Bosc;27;27110;49.168;0.84
Sainte-Opportune-la-Mare;27;27680;49.425;0.534
Sainte-Marie-d'Attez;27;27160;48.796;0.944
Saint-Ouen-de-Pontcheuil;27;27370;49.235;0.95
Saint-Ouen-de-Thouberville;27;27310;49.349;0.896
Saint-Ouen-du-Tilleul;27;27670;49.301;0.945
Saint-Paul-de-Fourques;27;27800;49.218;0.795
Saint-Philbert-sur-Boissey;27;27520;49.258;0.784
Saint-Philbert-sur-Risle;27;27290;49.277;0.647
Saint-Pierre-de-Bailleul;27;27920;49.126;1.384
Saint-Pierre-de-Cernières;27;27390;48.931;0.52
Saint-Pierre-de-Cormeilles;27;27260;49.238;0.365
Saint-Pierre-de-Salerne;27;27800;49.205;0.667
Saint-Pierre-des-Fleurs;27;27370;49.249;0.963
Saint-Pierre-des-Ifs;27;27450;49.266;0.608
Saint-Pierre-du-Bosguérard;27;27370;49.26;0.89
Saint-Pierre-du-Val;27;27210;49.391;0.366
Saint-Pierre-du-Vauvray;27;27430;49.224;1.218
Saint-Pierre-la-Garenne;27;27600;49.148;1.391
Saint-Samson-de-la-Roque;27;27680;49.426;0.425
Saint-Sébastien-de-Morsent;27;27180;49.013;1.074
Saint-Siméon;27;27560;49.284;0.517
Saint-Sulpice-de-Grimbouville;27;27210;49.375;0.449
Saint-Sylvestre-de-Cormeilles;27;27260;49.247;0.421
Saint-Symphorien;27;27500;49.31;0.456
Saint-Victor-de-Chrétienville;27;27300;49.063;0.514
Saint-Victor-d'Épine;27;27800;49.212;0.599
Saint-Victor-sur-Avre;27;27130;48.696;0.851
Saint-Vigor;27;27930;49.075;1.26
Saint-Vincent-des-Bois;27;27950;49.06;1.394
Saint-Vincent-du-Boulay;27;27230;49.101;0.49
Sancourt;27;27150;49.354;1.676
Sassey;27;27930;49.05;1.223
La Saussaye;27;27370;49.254;0.986
Saussay-la-Campagne;27;27150;49.319;1.508
Sébécourt;27;27190;48.976;0.831
Selles;27;27500;49.301;0.489
Serez;27;27220;48.934;1.358
Serquigny;27;27470;49.115;0.708
Surtauville;27;27400;49.198;1.054
Surville;27;27400;49.201;1.102
Suzay;27;27420;49.27;1.514
Le Theil-Nolent;27;27230;49.152;0.534
Thiberville;27;27230;49.132;0.441
Thibouville;27;27800;49.141;0.804
Thierville;27;27290;49.263;0.717
Le Thil;27;27150;49.307;1.555
Les Thilliers-en-Vexin;27;27420;49.236;1.605
Le Thuit;27;27700;49.26;1.367
Le Thuit de l'Oison;27;27370;49.257;0.939
Tilleul-Dame-Agnès;27;27170;49.006;0.891
Le Tilleul-Lambert;27;27110;49.081;0.931
Tillières-sur-Avre;27;27570;48.761;1.028
Tilly;27;27510;49.142;1.529
Tocqueville;27;27500;49.409;0.613
Le Torpt;27;27210;49.337;0.381
Touffreville;27;27440;49.344;1.436
Tournedos-Bois-Hubert;27;27180;49.074;0.988
Tourneville;27;27930;49.095;1.106
Tourville-la-Campagne;27;27370;49.225;0.899
Tourville-sur-Pont-Audemer;27;27500;49.321;0.517
Toutainville;27;27500;49.357;0.459
Le Tremblay-Omonville;27;27110;49.121;0.915
La Trinité;27;27930;48.987;1.237
La Trinité-de-Réville;27;27270;48.967;0.511
La Trinité-de-Thouberville;27;27310;49.365;0.878
Triqueville;27;27500;49.33;0.437
Le Troncq;27;27110;49.193;0.917
Le Tronquay;27;27480;49.438;1.454
Trouville-la-Haule;27;27680;49.42;0.58
La Vacherie;27;27400;49.124;1.137
Valailles;27;27300;49.118;0.617
Le Val-David;27;27120;48.979;1.263
Valletot;27;27350;49.367;0.612
Vandrimare;27;27380;49.383;1.352
Vannecrocq;27;27210;49.303;0.428
Vascœuil;27;27910;49.446;1.386
Vatteville;27;27430;49.28;1.285
Vaux-sur-Eure;27;27120;49.036;1.334
Les Trois Lacs;27;27700;49.201;1.296
Venon;27;27110;49.173;1.052
Les Ventes;27;27180;48.956;1.066
Verneuil d'Avre et d'Iton;27;27160;48.738;0.925
Verneusses;27;27390;48.91;0.425
Vernon;27;27200;49.088;1.485
Vesly;27;27870;49.243;1.642
Vézillon;27;27700;49.222;1.399
Le Vieil-Évreux;27;27930;49.004;1.213
La Vieille-Lyre;27;27330;48.922;0.75
Vieux-Port;27;27680;49.427;0.608
Villegats;27;27120;48.998;1.464
Villers-en-Vexin;27;27420;49.25;1.59
Villers-sur-le-Roule;27;27940;49.191;1.32
Villettes;27;27110;49.154;1.046
Sylvains-Lès-Moulins;27;27240;48.903;1.103
Villez-sous-Bailleul;27;27950;49.108;1.365
Villez-sur-le-Neubourg;27;27110;49.147;0.86
Villiers-en-Désœuvre;27;27640;48.958;1.481
Vironvay;27;27400;49.206;1.22
Vitot;27;27110;49.168;0.887
Voiscreville;27;27520;49.28;0.767
Vraiville;27;27370;49.218;1.036
Val-de-Reuil;27;27100;49.261;1.212
Abondant;28;28410;48.795;1.42
Allainville;28;28500;48.721;1.295
Allonnes;28;28150;48.332;1.652
Alluyes;28;28800;48.229;1.364
Amilly;28;28300;48.442;1.407
Anet;28;28260;48.853;1.443
Ardelles;28;28170;48.546;1.179
Ardelu;28;28700;48.355;1.913
Argenvilliers;28;28480;48.276;0.969
Vald'Yerre;28;28220;48.112;1.086
Aunay-sous-Auneau;28;28700;48.443;1.814
Aunay-sous-Crécy;28;28500;48.658;1.304
Auneau-Bleury-Saint-Symphorien;28;28700;48.469;1.773
Les Autels-Villevillon;28;28330;48.176;0.999
Authon-du-Perche;28;28330;48.202;0.886
Baigneaux;28;28140;48.128;1.821
Bailleau-le-Pin;28;28120;48.359;1.323
Bailleau-l'Évêque;28;28300;48.488;1.397
Bailleau-Armenonville;28;28320;48.527;1.647
Barjouville;28;28630;48.407;1.472
Barmainville;28;28310;48.259;1.955
Baudreville;28;28310;48.326;1.89
La Bazoche-Gouet;28;28330;48.14;0.971
Bazoches-en-Dunois;28;28140;48.095;1.572
Bazoches-les-Hautes;28;28140;48.16;1.82
Beauche;28;28270;48.678;0.98
Beaumont-les-Autels;28;28480;48.24;0.952
Beauvilliers;28;28150;48.301;1.654
Belhomert-Guéhouville;28;28240;48.506;1.05
Berchères-Saint-Germain;28;28300;48.535;1.468
Berchères-les-Pierres;28;28630;48.374;1.556
Berchères-sur-Vesgre;28;28260;48.844;1.553
Bérou-la-Mulotière;28;28270;48.741;1.073
Béthonvilliers;28;28330;48.231;0.9
Béville-le-Comte;28;28700;48.44;1.703
Billancelles;28;28190;48.494;1.213
Blandainville;28;28120;48.315;1.292
Boissy-en-Drouais;28;28500;48.729;1.252
Boissy-lès-Perche;28;28340;48.681;0.902
Boisville-la-Saint-Père;28;28150;48.332;1.7
La Bourdinière-Saint-Loup;28;28360;48.317;1.43
Boncé;28;28150;48.308;1.517
Boncourt;28;28260;48.846;1.464
Bonneval;28;28800;48.181;1.385
Bouglainval;28;28130;48.561;1.51
Le Boullay-les-Deux-Églises;28;28170;48.632;1.327
Le Boullay-Mivoye;28;28210;48.654;1.406
Le Boullay-Thierry;28;28210;48.635;1.433
Boutigny-Prouais;28;28410;48.734;1.57
Bouville;28;28800;48.262;1.378
Bréchamps;28;28210;48.673;1.521
Brezolles;28;28270;48.689;1.064
Briconville;28;28300;48.516;1.389
Brou;28;28160;48.217;1.157
Broué;28;28410;48.752;1.524
Bû;28;28410;48.802;1.493
Bullainville;28;28800;48.17;1.507
Cernay;28;28120;48.385;1.23
Challet;28;28300;48.556;1.428
Champhol;28;28300;48.467;1.511
Champrond-en-Gâtine;28;28240;48.396;1.075
Champrond-en-Perchet;28;28400;48.308;0.888
Champseru;28;28700;48.491;1.646
La Chapelle-d'Aunainville;28;28700;48.416;1.798
La Chapelle-du-Noyer;28;28200;48.042;1.318
La Chapelle-Forainvilliers;28;28500;48.728;1.491
La Chapelle-Fortin;28;28340;48.648;0.863
Chapelle-Guillaume;28;28330;48.119;0.893
Chapelle-Royale;28;28290;48.153;1.044
Charbonnières;28;28330;48.19;0.944
Charonville;28;28120;48.283;1.31
Charpont;28;28500;48.696;1.432
Chartainvilliers;28;28130;48.543;1.546
Chartres;28;28000;48.447;1.506
Chassant;28;28480;48.292;1.068
Châtaincourt;28;28270;48.693;1.234
Châteaudun;28;28200;48.076;1.326
Châteauneuf-en-Thymerais;28;28170;48.589;1.238
Les Châtelets;28;28270;48.66;1.018
Les Châtelliers-Notre-Dame;28;28120;48.346;1.21
Châtenay;28;28700;48.355;1.884
Chaudon;28;28210;48.654;1.494
Chauffours;28;28120;48.394;1.337
La Chaussée-d'Ivry;28;28260;48.889;1.488
Cherisy;28;28500;48.757;1.435
Chuisnes;28;28190;48.437;1.189
Cintray;28;28300;48.446;1.366
Clévilliers;28;28300;48.551;1.384
Cloyes-les-Trois-Rivières;28;28220;47.994;1.222
Coltainville;28;28300;48.492;1.597
Combres;28;28480;48.337;1.06
Conie-Molitard;28;28200;48.114;1.442
Corancez;28;28630;48.367;1.515
Cormainville;28;28140;48.132;1.606
Les Corvées-les-Yys;28;28240;48.365;1.148
Le Coudray;28;28630;48.419;1.503
Coudray-au-Perche;28;28330;48.238;0.857
Coulombs;28;28210;48.656;1.553
Courbehaye;28;28140;48.149;1.608
Courville-sur-Eure;28;28190;48.452;1.249
Crécy-Couvé;28;28500;48.68;1.283
Croisilles;28;28210;48.691;1.499
La Croix-du-Perche;28;28480;48.281;1.042
Crucey-Villages;28;28270;48.669;1.107
Dambron;28;28140;48.116;1.872
Dammarie;28;28360;48.338;1.497
Dampierre-sous-Brou;28;28160;48.224;1.109
Dampierre-sur-Avre;28;28350;48.758;1.143
Dancy;28;28800;48.153;1.462
Dangeau;28;28160;48.197;1.276
Dangers;28;28190;48.51;1.35
Denonville;28;28700;48.393;1.8
Digny;28;28250;48.529;1.135
Donnemain-Saint-Mamès;28;28200;48.1;1.37
Dreux;28;28100;48.748;1.359
Droue-sur-Drouette;28;28230;48.602;1.701
Écluzelles;28;28500;48.708;1.422
Écrosnes;28;28320;48.554;1.734
Épeautrolles;28;28120;48.313;1.333
Épernon;28;28230;48.594;1.685
Ermenonville-la-Grande;28;28120;48.336;1.381
Ermenonville-la-Petite;28;28120;48.292;1.348
Escorpain;28;28270;48.72;1.215
Les Étilleux;28;28330;48.245;0.816
Faverolles;28;28210;48.681;1.584
Favières;28;28170;48.532;1.229
Le Favril;28;28190;48.46;1.111
La Ferté-Vidame;28;28340;48.6;0.883
Fessanvilliers-Mattanvilliers;28;28270;48.704;1.035
Flacey;28;28800;48.151;1.333
Fontaine-la-Guyon;28;28190;48.476;1.298
Fontaine-les-Ribouts;28;28170;48.655;1.248
Fontaine-Simon;28;28240;48.509;0.992
Fontenay-sur-Conie;28;28140;48.166;1.682
Fontenay-sur-Eure;28;28630;48.406;1.422
La Framboisière;28;28250;48.597;1.016
Francourville;28;28700;48.402;1.662
Frazé;28;28160;48.26;1.099
Fresnay-le-Comte;28;28360;48.304;1.478
Fresnay-le-Gilmert;28;28300;48.513;1.418
Fresnay-l'Évêque;28;28310;48.258;1.814
Friaize;28;28240;48.43;1.122
Fruncé;28;28190;48.406;1.198
Gallardon;28;28320;48.534;1.689
Garancières-en-Beauce;28;28700;48.433;1.915
Garancières-en-Drouais;28;28500;48.703;1.282
Garnay;28;28500;48.7;1.337
Gas;28;28320;48.564;1.668
Gasville-Oisème;28;28300;48.473;1.555
La Gaudaine;28;28400;48.298;0.952
Le Gault-Saint-Denis;28;28800;48.246;1.483
Gellainville;28;28630;48.416;1.535
Germainville;28;28500;48.745;1.478
Gilles;28;28260;48.909;1.518
Gohory;28;28160;48.165;1.224
Gommerville;28;28310;48.343;1.953
Gouillons;28;28310;48.342;1.844
Goussainville;28;28410;48.783;1.56
Guainville;28;28260;48.922;1.483
Le Gué-de-Longroi;28;28700;48.491;1.708
Guilleville;28;28310;48.222;1.802
Guillonville;28;28140;48.094;1.643
Hanches;28;28130;48.597;1.648
Happonvilliers;28;28480;48.33;1.105
Havelu;28;28410;48.788;1.534
Houville-la-Branche;28;28700;48.444;1.639
Houx;28;28130;48.57;1.621
Illiers-Combray;28;28120;48.303;1.227
Intréville;28;28310;48.298;1.936
Jallans;28;28200;48.077;1.386
Janville-en-Beauce;28;28310;48.201;1.89
Jaudrais;28;28250;48.574;1.123
Jouy;28;28300;48.516;1.546
Lamblore;28;28340;48.626;0.916
Landelles;28;28190;48.463;1.192
Laons;28;28270;48.698;1.186
Léthuin;28;28700;48.377;1.862
Levainville;28;28700;48.493;1.748
Lèves;28;28300;48.48;1.469
Levesville-la-Chenard;28;28310;48.303;1.831
Logron;28;28200;48.141;1.254
Loigny-la-Bataille;28;28140;48.127;1.723
Lormaye;28;28210;48.639;1.543
La Loupe;28;28240;48.473;1.022
Louville-la-Chenard;28;28150;48.326;1.795
Louvilliers-en-Drouais;28;28500;48.735;1.283
Louvilliers-lès-Perche;28;28250;48.616;1.066
Lucé;28;28110;48.435;1.453
Luigny;28;28480;48.237;1.028
Luisant;28;28600;48.423;1.469
Lumeau;28;28140;48.107;1.778
Luplanté;28;28360;48.299;1.384
Luray;28;28500;48.716;1.399
Magny;28;28120;48.344;1.27
Maillebois;28;28170;48.632;1.15
Maintenon;28;28130;48.584;1.584
Mainvilliers;28;28300;48.462;1.446
Maisons;28;28700;48.404;1.845
La Mancelière;28;28270;48.643;0.985
Manou;28;28240;48.536;0.963
Marboué;28;28200;48.12;1.308
Marchéville;28;28120;48.364;1.243
Marchezais;28;28410;48.775;1.514
Arcisses;28;28400;48.337;0.851
